Room Number,Status,Guest Name,ID/Passport,Address,Job,Nationality,Nights,Check-in Date,Check-out Date,Paid,Total Cost,Remaining
1,Available,,,,,,0,,,0,0,0
2,Booked,,,,,,0,,,0,0,0
3,Available,,,,,,0,,,0,0,0
4,Available,,,,,,0,,,0,0,0
5,Available,,,,,,0,,,0,0,0
6,Available,,,,,,0,,,0,0,0
7,Available,,,,,,0,,,0,0,0
8,Available,,,,,,0,,,0,0,0
9,Available,,,,,,0,,,0,0,0
10,Available,,,,,,0,,,0,0,0
11,Available,,,,,,0,,,0,0,0
12,Available,,,,,,0,,,0,0,0
13,Available,,,,,,0,,,0,0,0
14,Available,,,,,,0,,,0,0,0
15,Available,,,,,,0,,,0,0,0
16,Available,,,,,,0,,,0,0,0
17,Available,,,,,,0,,,0,0,0
18,Available,,,,,,0,,,0,0,0
19,Available,,,,,,0,,,0,0,0
20,Available,,,,,,0,,,0,0,0
21,Available,,,,,,0,,,0,0,0
22,Available,,,,,,0,,,0,0,0
23,Available,,,,,,0,,,0,0,0
24,Available,,,,,,0,,,0,0,0
25,Available,,,,,,0,,,0,0,0
26,Available,,,,,,0,,,0,0,0
27,Available,,,,,,0,,,0,0,0
28,Available,,,,,,0,,,0,0,0
29,Available,,,,,,0,,,0,0,0
30,Available,,,,,,0,,,0,0,0
